wellid,year,sampledate,daynum,ph,ph_bubbled,cond,alk,dic,doc,no3no2,nh4n,totn,totp,drsi,brsi,cl,so4,ca,mg,na,k,fe,mn,flagph,flagph_bubbled,flagalk,flagdic,flagdoc,flagno3no2,flagnh4n,flagtotn,flagtotp,flagdrsi,flagbrsi,flagcl,flagso4,flagca,flagmg,flagna,flagk,flagfe,flagmn
"K2",1985,1985-11-16 00:00:00,320,6.35,,,300,,,61.5,4,,,4744,,0.37,3.71,4.25,1.49,1.25,0.54,,,,,,,,,,"E","E",,,,,,,,,,
"K2",1986,1986-03-01 00:00:00,60,6.81,,,350,,,75.8,17,,,4782,,0.36,3.56,4.67,1.68,1.33,0.54,,,,,,,,,,,,,,,,,,,,,
"K2",1986,1986-05-13 00:00:00,133,6.85,,,296,,,89.8,4,,,4585,,0.35,3.63,4.17,1.44,1.27,0.54,,,,,,,,,,,,,,,,,,,,,
"K2",1986,1986-09-03 00:00:00,246,7.38,,,622,,,5.7,,,,4796,,4.89,4.07,4.94,1.97,5.37,1.23,,,,,,,,,,,,,,,,,,,,,
"K2",1986,1986-11-05 00:00:00,309,7.12,,,383,5.43,0.58,,,,,4777,,1.02,3.33,4.91,2.00,1.51,0.37,,,,,,,,,,,,,,,,,,,,,
"K2",1987,1987-11-16 00:00:00,320,7.23,,,,5.41,0.65,,,,,,,0.27,3.18,5.17,1.98,1.43,0.48,,,,,,,,,,,,,,,,,,,,"E",
"K2",1988,1988-10-27 00:00:00,301,7.69,,50,475,6.37,0.25,9.0,34,0,12,5028,4376,0.27,2.72,5.78,2.20,1.67,0.54,0.00,0.04,,,,,,,,,,,,,,,,"E",,,
"K2",1989,1989-10-24 00:00:00,297,7.29,,47,371,5.86,2.40,79.0,20,85,14,4776,4649,0.48,3.36,4.91,1.81,1.36,0.59,0.00,0.00,,,,,,"G","G",,,,,,,,,"E",,,
"K2",1990,1990-11-15 00:00:00,319,6.99,,53,408,5.94,1.41,102.0,19,95,15,4914,5000,0.36,3.10,5.44,2.02,1.60,0.54,0.00,0.00,,,,,,,,,,,,,,,,,,,
"K2",1991,1991-10-23 00:00:00,296,7.39,,54,450,6.42,0.72,11.0,17,0,20,4927,5570,0.30,3.32,5.96,2.17,1.62,0.57,0.24,0.05,,,,,,,,,,,,,,,,,,,
"K2",1992,1992-12-15 00:00:00,350,6.94,,49,380,5.82,0.33,36.0,46,29,15,5023,4888,0.38,3.15,5.12,1.96,1.49,0.50,0.04,0.00,,,,,,"G",,,,,,,"EB",,,,,,
"K2",1993,1993-11-29 00:00:00,333,7.28,,54,379,6.29,0.50,18.0,19,0,14,4901,4834,0.33,3.14,5.61,2.04,1.58,0.51,0.00,0.00,,,,,,,,,,,,,,,,,,,
"K2",1994,1994-12-20 00:00:00,354,7.32,,,441,6.08,0.43,99.0,32,191,11,4985,4912,0.58,2.90,5.09,2.00,1.42,0.55,0.00,0.00,,,,,,,,,,,,,,,,,,,
"K2",1996,1996-11-20 00:00:00,325,7.19,7.78,48,349,5.60,0.85,85.0,123,8,4,5008,5350,0.37,3.25,4.60,1.83,1.47,0.59,0.00,0.00,,,,,,,,,,"E","E","E",,,,"E","E","E","E"
"K2",1997,1997-11-10 00:00:00,314,6.59,,42,316,4.55,3.49,19.0,55,,,,,0.50,2.21,,,,,,,,,,,,,,"C","C","C","C",,,"C","C","C","C","C","C"
"K2",1998,1998-10-27 00:00:00,300,6.94,7.68,47,334,5.53,0.62,90.0,12,80,14,4880,4871,0.38,3.21,4.65,1.68,1.42,0.60,0.00,0.00,,,,,,,,,,,,,,,,,,,
"K2",1999,1999-10-29 00:00:00,302,6.72,7.62,38,251,4.59,0.43,130.0,20,388,9,4653,5377,0.41,2.70,3.84,1.20,1.40,0.74,0.02,0.00,,,,,,,,,,,,"E","E",,,,,,
"K2",2000,2000-11-29 00:00:00,303,6.62,7.17,38,233,4.71,0.93,34.0,58,173,18,5130,5170,0.83,2.57,3.39,1.10,1.42,0.60,0.12,0.01,,,,,,,,,,,,,,,,,,,
"K2",2001,2001-11-05 00:00:00,309,6.90,7.53,49,375,5.08,0.64,46.0,24,56,27,5317,5479,0.25,2.99,5.02,1.74,1.44,0.59,0.15,0.01,,,,,,,,,,,,,,,,,,,
"K2",2002,2002-10-28 00:00:00,301,6.95,7.62,52,400,4.35,1.02,42.0,158,83,19,5128,5137,0.22,3.03,5.51,1.76,1.43,0.56,0.01,0.01,,,,,,,,,,,,,,,,,,,
"K2",2003,2003-10-09 00:00:00,282,7.04,7.18,49,384,5.56,0.34,25.0,12,85,14,4946,,0.60,3.15,4.57,1.73,1.42,0.53,0.01,0.00,,,,,,"E","E",,,,,,,,,,,,
"K2",2004,2004-10-20 00:00:00,294,6.96,7.81,46,360,,,52.0,29,59,13,4927,,0.03,0.07,4.80,1.69,1.37,0.51,0.00,0.00,,,,"D","D",,,,,,,"A","A","E","E","E","E","E","E"
"K2",2005,2005-11-03 00:00:00,305,7.19,7.60,48,404,8.16,3.98,49.0,2,65,20,4754,,0.25,3.11,4.87,1.75,1.35,0.50,0.00,0.00,,,,,,,,,,,,"E","E",,,,,,
"K2",2006,2006-10-10 00:00:00,283,7.01,7.51,46,377,5.28,0.43,31.0,3,56,18,5032,,0.27,3.17,5.15,1.76,1.38,0.49,0.00,0.00,,,,,,,,"E","E",,,,,"E","E","E","E","E","E"
"K2",2007,2007-11-01 00:00:00,305,7.29,7.81,47,377,5.10,0.72,287.0,3,876,56,2746,,0.29,2.88,3.31,1.12,0.99,0.69,0.01,0.02,,,,,,"N","N",,,,,,,,,,,,
"K2",2008,2008-10-28 00:00:00,302,6.93,7.54,47,392,4.82,1.01,48.0,13,18,65,4893,,0.02,2.63,5.35,1.85,1.48,0.63,0.01,0.00,,,,,,,,,,,,,,,,,,,
"K2",2009,2009-11-02 00:00:00,306,7.11,7.54,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K2",2010,2010-10-18 00:00:00,291,7.19,7.50,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K2",2011,2011-11-07 00:00:00,311,7.16,7.65,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K2",2012,2012-11-12 00:00:00,317,6.98,7.51,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K2",2013,2013-10-23 00:00:00,296,7.06,7.65,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K33",1984,1984-11-07 00:00:00,312,6.50,,,682,,,1.9,277,,,9142,,1.25,4.30,5.86,2.45,1.58,0.15,,,,,,,,,,,,,,,,,,,,,
"K33",1985,1985-03-16 00:00:00,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K33",1985,1985-06-01 00:00:00,152,5.99,,,511,,,4.1,305,,,6477,,1.23,3.75,5.09,2.07,1.08,,,,,,,,,,,,,,,,,,,"E",,"E",
"K33",1985,1985-08-22 00:00:00,234,,,,,,,0.0,264,,,9343,,1.13,4.24,6.28,2.46,1.58,1.01,,,,,,,,,,,,,,,,,,,,,
"K33",1985,1985-11-16 00:00:00,320,6.82,,,771,,,0.0,204,,,9822,,1.04,5.01,5.91,2.51,1.54,0.71,,,,,,,,,,"E","E",,,,,,,,,,
"K33",1986,1986-03-01 00:00:00,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K33",1986,1986-05-13 00:00:00,133,6.90,,,621,,,4.2,150,,,9957,,0.99,5.35,6.13,2.29,1.55,0.61,,,,,,,,,,,,,,,,,,,,,
"K33",1986,1986-09-03 00:00:00,246,6.64,,,522,,,4.8,136,,,10000,,1.13,5.06,6.21,2.33,1.76,1.24,,,,,,,,,,,,,,,,,,,,,
"K33",1986,1986-11-05 00:00:00,309,6.94,,,444,9.94,0.94,,,,,10293,,1.07,5.31,6.16,2.55,1.60,0.65,,,,,,,,,,,,,,,,,,,,,
"K33",1987,1987-11-16 00:00:00,320,7.02,,,,11.35,1.77,,,,,,,1.78,5.24,6.55,2.55,1.62,0.69,,,,,,,,,,,,,,,,,,"E",,,
"K33",1988,1988-10-27 00:00:00,301,6.89,,60,467,11.20,0.96,0.0,156,290,94,9852,8414,2.23,6.26,6.40,2.33,1.72,0.80,8.56,0.23,,,,,,,,,,,,,,,,,,,
"K33",1989,1989-10-24 00:00:00,297,6.65,,74,387,8.49,4.20,1.0,288,312,94,9030,8610,2.53,6.34,5.47,2.11,1.91,1.22,7.89,0.29,,,,,,"G","G",,"E",,,,,,,,,,"E"
"K33",1990,1990-11-15 00:00:00,319,6.81,,80,180,11.86,1.08,5.0,40,58,32,4740,4768,2.72,9.44,2.42,1.02,6.09,0.73,0.54,0.04,,,,,,,,,,,,,,,,,,"E",
"K33",1991,1991-10-23 00:00:00,296,6.84,,81,586,11.85,1.27,2.0,359,411,149,9344,9703,2.54,5.47,8.20,2.84,2.01,1.40,,0.41,,,,,,,,,"E","E","E","E",,,,,,,
"K33",1992,1992-12-15 00:00:00,350,6.87,,86,572,13.07,0.88,2.0,193,218,129,10118,9735,2.63,6.13,8.05,3.02,1.91,0.75,9.47,0.47,,,,,,"G",,,"E","E ",,,"B",,,,,,
"K33",1993,1993-11-29 00:00:00,333,6.89,,91,647,14.76,1.09,0.0,165,207,118,10136,10341,2.79,4.91,8.56,3.03,2.24,0.69,11.95,0.40,,,,,,,,,"E",,,"G",,,,"E","E","E","E"
"K33",1994,1994-12-20 00:00:00,354,6.53,,,584,11.85,1.30,1.0,177,216,5,9196,9026,2.70,4.85,8.35,3.06,2.53,0.81,8.55,0.45,,,,,,,,,,,,,,,,,,,
"K33",1996,1996-11-20 00:00:00,325,6.61,7.91,85,633,11.85,1.61,3.0,174,0,2,10846,11597,2.87,5.48,8.31,3.23,2.49,0.91,9.84,0.49,,,,,,,,,,"E","E",,"E",,,,,,
"K33",1997,1997-11-10 00:00:00,314,6.71,,89,671,11.69,1.22,6.0,179,140,24,8754,8954,2.78,5.67,8.02,3.24,2.62,0.80,0.00,0.36,,,,,,"E","E",,,,,,,,,,,,
"K33",1998,1998-10-27 00:00:00,300,6.92,7.08,87,662,13.22,1.27,2.0,138,132,70,10228,10031,2.86,4.65,8.39,3.30,2.53,0.64,10.86,0.53,,,,,,,,,,,,,,"E","E","E","E","E","E"
"K33",1999,1999-10-29 00:00:00,302,6.33,7.12,85,1229,11.75,1.27,9.0,132,332,5,10055,10973,3.05,4.05,8.51,3.14,2.71,0.74,8.45,0.50,,,,,,,,,,,,,,,,,,,
"K33",2000,2000-11-29 00:00:00,303,6.77,7.15,71,524,11.22,1.51,3.0,147,272,36,11034,11181,2.26,3.30,6.97,2.59,2.59,0.78,9.00,0.38,,,,,,,,,,,,,,,,,,,
"K33",2001,2001-11-05 00:00:00,309,6.82,7.06,72,551,7.45,1.17,2.0,230,148,85,10363,10188,1.32,2.98,6.98,2.50,2.45,0.58,9.03,0.34,,,,,,,,,,,,,,,,,,,
"K33",2002,2002-10-28 00:00:00,301,6.67,6.66,73,571,5.46,0.35,13.0,150,193,92,10765,8885,1.86,3.35,7.21,2.64,2.36,0.55,9.29,0.40,,,,,,,,,,,,"E","E",,,,,,
"K33",2003,2003-10-09 00:00:00,282,6.82,7.13,71,569,8.49,1.02,1.0,115,158,86,10363,,1.84,2.96,6.23,2.46,2.40,0.55,9.21,0.36,,,,,,,,,,,,,,,,,,,
"K33",2004,2004-10-20 00:00:00,294,6.73,7.99,72,62,9.59,1.88,1.0,214,166,95,10126,,1.09,2.14,7.30,2.67,2.48,0.55,10.70,0.39,,,,,,,,,,,,"A","A",,,,,,
"K33",2005,2005-11-03 00:00:00,305,6.69,7.80,71,663,5.41,2.09,1.0,117,155,72,10287,,0.85,1.71,7.21,2.58,2.48,0.57,10.80,0.39,,,,,,,,,,,,,,,,,,,
"K33",2006,2006-10-10 00:00:00,283,6.71,7.31,67,641,15.37,2.23,1.0,175,245,95,10221,,0.74,1.28,7.17,2.49,2.35,0.54,11.30,0.35,,,,,,,,,,,,,,,,,,,
"K33",2007,2007-11-01 00:00:00,305,7.12,7.44,62,511,11.00,1.47,3.0,161,227,98,10328,,0.76,2.11,6.36,2.25,2.45,0.57,9.98,0.30,,,,,,,,,,,,,,,,,,,
"K33",2008,2008-10-28 00:00:00,302,6.55,7.44,59,49,9.96,1.60,8.0,135,176,148,10048,,0.01,1.42,6.35,2.25,2.25,0.51,9.84,0.33,,,,,,"E","E",,,,,,,,,,,,
"K33",2009,2009-11-02 00:00:00,306,6.90,7.03,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K33",2010,2010-10-18 00:00:00,291,6.80,7.47,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K33",2011,2011-11-07 00:00:00,311,6.62,7.30,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K33",2012,2012-11-12 00:00:00,317,6.94,7.23,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K33",2013,2013-10-23 00:00:00,296,6.79,7.68,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K34",1984,1984-11-07 00:00:00,312,5.65,,,247,,,2.8,158,,,5574,,0.99,7.75,2.66,1.14,1.64,1.68,,,,,,,,,,,,,,,,,,,,,
"K34",1985,1985-03-16 00:00:00,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K34",1985,1985-06-01 00:00:00,152,6.02,,,285,,,2.5,157,,,5029,,0.64,7.35,2.60,1.27,1.57,,,,,,,,,,,,,,,,,,,,,,
"K34",1985,1985-08-22 00:00:00,234,,,,,,,0.0,104,,,5727,,1.02,7.31,2.86,1.27,1.76,1.80,,,,,,,,,,,,,,,,,,,,,
"K34",1985,1985-11-16 00:00:00,320,5.65,,,287,,,2.9,46,,,6290,,1.11,7.40,2.61,1.07,1.89,0.94,,,,,,,,,,"E","E",,,,,,,,,"E",
"K34",1986,1986-03-01 00:00:00,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K34",1986,1986-05-13 00:00:00,133,5.76,,,213,,,1.2,33,,,5847,,1.48,6.60,2.36,1.03,1.81,0.66,,,,,,,,,,,,,,,,,,,,,
"K34",1986,1986-09-03 00:00:00,246,5.96,,,271,,,0.5,190,,,5840,,1.49,6.09,2.71,1.20,2.65,0.84,,,,,,,,,,,,,,,,,,,,,
"K34",1986,1986-11-05 00:00:00,309,5.84,,,260,12.16,1.24,,,,,5869,,1.78,6.30,2.46,1.25,1.80,0.88,,,,,,,,,,,,,,,,,,,,,
"K34",1987,1987-11-16 00:00:00,320,5.62,,,,17.70,1.38,,,,,,,6.87,7.56,3.68,1.43,1.98,1.28,,,,,,,,,,,,,,,,,,"E",,,
"K34",1988,1988-10-27 00:00:00,301,5.73,,60,262,17.34,1.78,3.0,239,51,72,5002,4235,3.06,12.53,2.81,1.10,5.25,1.11,2.99,0.08,,,,,,,,,,,,,,,,,,,
"K34",1989,1989-10-24 00:00:00,297,5.63,,70,175,9.86,2.32,2.0,80,98,76,4821,4696,4.32,13.87,3.13,1.26,6.36,0.98,1.38,0.04,,,,,,"G","G",,,,,,,,,,,,
"K34",1990,1990-11-15 00:00:00,319,5.70,,58,579,13.26,2.19,3.0,76,184,71,9868,9894,2.53,5.49,7.47,2.80,2.00,0.65,6.57,0.41,,,,,,,,,,,,"M","H",,,,"E",,
"K34",1991,1991-10-23 00:00:00,296,5.73,,63,195,11.48,1.26,8.0,94,112,42,4504,4362,3.00,12.52,3.04,1.16,,1.06,1.06,0.04,,,,,,,,"E",,,,,,,,,,,
"K34",1992,1992-12-15 00:00:00,350,5.63,,92,90,9.90,1.70,32.0,143,196,35,4718,4481,7.74,18.67,4.05,1.65,8.07,1.48,1.62,0.04,,,,,,"G",,,,,,,"B","E","E",,,,
"K34",1993,1993-11-29 00:00:00,333,5.54,,108,97,11.31,1.86,42.0,131,69,25,4561,4487,7.58,26.27,4.96,1.85,10.52,1.67,0.32,0.00,,,,,,,,,,,,,,,,,,,
"K34",1994,1994-12-20 00:00:00,354,5.46,,,179,9.58,2.72,47.0,23,112,19,4492,4358,4.86,27.14,4.20,1.70,11.54,2.58,0.00,0.00,,,,,,,,,,,,,,,,,,,
"K34",1996,1996-11-20 00:00:00,325,5.76,7.45,92,203,7.84,5.46,4.0,85,140,20,4542,4797,6.82,15.43,2.49,0.93,8.23,7.66,0.08,0.00,,,,,,,,,,"E","E",,,,,,,,
"K34",1997,1997-11-10 00:00:00,314,5.94,,74,356,9.45,1.98,1.0,668,505,56,4811,4686,1.91,6.63,2.42,0.97,5.49,5.65,0.37,0.00,,,,,,,"E",,,,,"E","E",,,,,,
"K34",1998,1998-10-27 00:00:00,300,5.74,6.70,74,203,9.26,2.78,675.0,42,704,51,4604,4579,3.10,11.72,2.36,0.92,5.45,7.33,0.03,0.02,,,,,,,,,,,,,,,,,,,
"K34",1999,1999-10-29 00:00:00,302,5.82,7.45,111,241,9.08,2.33,11.0,103,305,22,5048,5643,5.47,13.79,2.15,0.76,9.15,15.41,0.08,0.00,,,,,,,,,,,,,"E",,,,,,
"K34",2000,2000-11-29 00:00:00,303,6.14,7.45,71,332,10.59,2.00,121.0,89,509,39,5265,5558,2.84,5.97,0.78,0.27,6.98,10.48,0.02,0.01,,,,,,,,,,,,,,,,,,,
"K34",2001,2001-11-05 00:00:00,309,5.83,7.41,54,393,5.30,1.56,3.0,71,83,54,5380,5436,0.80,3.58,0.76,0.25,4.46,8.81,0.28,0.01,,,,,,,,,,,,"E","E",,,,,,
"K34",2002,2002-10-28 00:00:00,301,5.96,6.08,78,159,8.35,0.87,22.0,59,381,87,5196,5265,8.16,8.64,1.24,0.41,4.78,9.65,0.75,0.02,,,,,,,,,,,,,,,,,,,
"K34",2003,2003-10-09 00:00:00,282,5.89,7.10,65,175,3.71,1.58,8.0,39,76,38,5253,,5.00,8.27,0.97,0.32,4.89,6.54,0.37,0.01,,,,,,,,,,,,,,,,,,,
"K34",2004,2004-10-20 00:00:00,294,5.73,7.44,77,194,,,20.0,49,90,34,5034,,0.53,0.51,1.09,0.33,5.71,7.20,0.05,0.00,,,,"D","D","E","E",,,,,"A","A",,,,,,
"K34",2005,2005-11-03 00:00:00,305,6.01,7.57,73,333,4.62,1.12,6.0,25,1519,258,4859,,3.22,7.53,2.77,0.95,3.54,5.28,1.70,0.09,,,,,,,,"N","N","E",,,,,,,,,
"K34",2006,2006-10-10 00:00:00,283,5.90,6.74,63,249,12.91,2.08,6.0,175,233,85,5267,,4.14,7.84,1.03,0.30,6.03,5.20,0.93,0.02,,,,,,,,,,,,,,,,,,,
"K34",2007,2007-11-01 00:00:00,305,6.17,7.22,39,192,8.96,1.72,3.0,299,329,92,5093,,1.08,3.53,1.05,0.34,2.67,3.58,0.69,0.02,,,,,,"N","N",,,,,"N","N","E","E","E","E","E","E"
"K34",2008,2008-10-28 00:00:00,302,5.68,7.04,101,70,5.55,1.71,373.0,83,26,458,4871,,15.45,6.35,3.55,1.28,5.39,7.62,0.59,0.03,,,,,,,,,,,,,,,,,,,
"K34",2009,2009-11-02 00:00:00,306,5.96,7.10,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K34",2010,2010-10-18 00:00:00,291,5.62,6.85,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K34",2011,2011-11-07 00:00:00,311,5.54,6.90,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K34",2012,2012-11-12 00:00:00,317,5.82,7.17,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K34",2013,2013-10-23 00:00:00,296,5.78,7.08,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K5",1984,1984-11-07 00:00:00,312,7.35,,,684,,,1.2,153,,,7969,,6.83,4.22,9.34,4.00,1.55,1.03,,,,,,,,,,,,,,,,,,,,,
"K5",1985,1985-03-16 00:00:00,75,5.23,,,256,,,,,,,806,,1.03,2.33,4.22,9.93,0.17,4.39,,,,,,,,,,"C","C",,,,,"E","E",,"E",,
"K5",1985,1985-06-01 00:00:00,152,5.62,,,204,,,3.6,308,,,833,,0.85,0.32,2.39,1.04,0.24,,,,,,,,,,,,,,,"E",,,,,,,
"K5",1985,1985-08-22 00:00:00,234,,,,,,,0.0,1259,,,4968,,4.10,0.55,8.10,4.24,0.51,3.68,,,,,,,,,,,,,,,,,,,,,
"K5",1985,1985-11-16 00:00:00,320,6.68,,,770,,,0.0,684,,,6990,,4.71,2.10,7.11,3.76,1.25,2.87,,,,,,,,,,"E",,,,,,,,,,,
"K5",1986,1986-03-01 00:00:00,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K5",1986,1986-05-13 00:00:00,133,6.95,,,699,,,1.7,542,,,6956,,4.07,0.69,22.16,3.42,1.34,2.37,,,,,,,,,,,,,,,,,,,,,
"K5",1986,1986-09-03 00:00:00,246,7.08,,,639,,,0.5,662,,,7672,,3.42,1.09,7.22,3.44,1.43,1.87,,,,,,,,,,,,,,,,,,,,,
"K5",1986,1986-11-05 00:00:00,309,7.30,,,639,8.71,1.34,,,,,8163,,2.57,3.04,7.47,3.42,1.54,1.24,,,,,,,,,,,,,,,,,,,,,
"K5",1987,1987-11-16 00:00:00,320,7.38,,,,8.63,1.01,,,,,,,1.07,3.31,7.70,3.19,1.48,0.77,,,,,,,,,,,,,,,,,,,,"E",
"K5",1988,1988-10-27 00:00:00,301,7.53,,66,631,8.49,0.81,5.0,137,76,97,8218,7938,0.69,3.10,7.45,3.13,0.93,0.70,0.86,0.37,,,,,,,,,,,,,,,,,,,
"K5",1989,1989-10-24 00:00:00,297,7.13,,69,601,8.79,3.34,0.0,215,222,151,7373,7163,0.86,3.09,6.29,3.12,1.30,1.52,1.99,0.35,,,,,,"G","G",,,"E","E",,,,,,,,
"K5",1990,1990-11-15 00:00:00,319,7.53,,70,606,8.25,1.09,6.0,112,169,,8349,8410,0.55,2.60,7.02,2.95,1.47,0.85,1.05,0.32,,,,,,,,,,,,,"E",,,,,,
"K5",1991,1991-10-23 00:00:00,296,7.47,,67,607,8.18,0.88,0.0,131,102,134,7887,8472,0.30,2.66,7.13,2.93,1.43,0.71,0.82,0.32,,,,,,,,,,,,,,,,,,,
"K5",1992,1992-12-15 00:00:00,350,6.67,,66,563,9.52,5.04,1.0,417,159,126,8328,8068,0.40,1.04,7.37,3.09,1.42,0.63,0.59,0.24,,,,,,"GJ",,,,,,,"B",,,,,"E",
"K5",1993,1993-11-29 00:00:00,333,7.84,,72,670,8.43,0.72,0.0,85,144,111,8361,8344,0.45,2.87,7.85,3.15,1.46,0.45,0.27,0.18,,,,,,,,,,,,,"E",,,,,,
"K5",1994,1994-12-20 00:00:00,354,,,,739,8.82,1.35,49.0,69,141,63,5532,5465,0.81,6.15,8.93,3.66,1.58,0.59,0.11,0.15,,,,,,,,,,,,,,,,,,,
"K5",1996,1996-11-20 00:00:00,325,8.10,8.48,79,652,9.20,1.16,0.0,111,18,6,7338,7643,0.47,3.75,7.73,3.36,1.43,0.63,0.01,0.16,,,,,,,,,,"E","E",,,,,,,,
"K5",1997,1997-11-10 00:00:00,314,8.01,,51,657,8.54,1.36,6.0,67,90,79,8037,9153,0.43,3.74,8.27,3.78,1.57,0.81,1.42,0.12,,,,,,,,,,,,,,,,,,,
"K5",1998,1998-10-27 00:00:00,300,7.88,7.56,74,634,8.61,1.55,9.0,52,132,122,9578,9545,0.50,3.68,7.76,3.56,1.51,0.67,1.00,0.18,,,,,,,,,,,,,,,,,,,
"K5",1999,1999-10-29 00:00:00,302,7.16,7.98,79,645,11.04,4.82,28.0,79,293,30,5114,5821,0.61,4.13,8.60,3.58,1.65,0.72,0.01,0.11,,,,,,,,,,,,,,,,,,,
"K5",2000,2000-11-29 00:00:00,303,7.73,7.36,82,665,8.69,1.36,34.0,90,305,112,10695,11568,0.50,3.32,8.80,4.06,1.60,0.92,2.28,0.21,,,,,,,,,,,,,,,,,,,
"K5",2001,2001-11-05 00:00:00,309,7.94,7.80,72,627,8.17,0.78,13.0,92,43,103,8092,8261,0.27,2.71,7.77,3.17,1.40,0.42,0.01,0.17,,,,,,,,,,,,,,,,,,,
"K5",2002,2002-10-28 00:00:00,301,7.80,7.76,74,626,8.06,0.58,0.0,68,48,100,8155,8219,0.23,2.66,7.78,3.20,1.52,0.57,0.00,0.17,,,,,,,,,,,,,,,,,,,
"K5",2003,2003-10-09 00:00:00,282,7.58,7.94,72,692,8.72,0.94,3.0,66,72,98,8270,,0.47,3.50,7.09,3.19,1.40,0.43,0.04,0.20,,,,,,,,,,,,,,,,,,,
"K5",2004,2004-10-20 00:00:00,294,7.78,7.99,72,778,,,1.0,56,59,95,8089,,0.03,0.10,7.67,3.21,1.38,0.42,0.04,0.21,,,,"D","D",,,,,,,"A","A",,,,,,
"K5",2005,2005-11-03 00:00:00,305,7.99,7.80,72,621,5.23,0.83,0.0,46,79,101,7956,,0.34,3.74,7.09,3.01,1.33,0.38,0.03,0.20,,,,,,,,,,,,,,,,,,,
"K5",2006,2006-10-10 00:00:00,283,7.70,7.74,68,604,7.16,0.65,1.0,45,41,92,8162,,0.37,3.59,7.82,3.15,1.33,0.40,0.03,0.21,,,,,,,,,,,,,,,,,,,
"K5",2007,2007-11-01 00:00:00,305,7.86,8.00,71,613,7.69,0.79,20.0,696,741,129,8302,,0.36,2.80,7.18,3.01,1.50,0.55,0.30,0.28,,,,,,"N","N",,,,,,,,,,,,
"K5",2008,2008-10-28 00:00:00,302,7.50,7.59,75,568,7.82,1.07,40.0,29,122,413,7970,,0.02,2.03,7.55,3.15,1.46,0.40,0.20,0.24,,,,,,,,,,,,,,,,,,,
"K5",2009,2009-11-02 00:00:00,306,7.74,7.72,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K5",2010,2010-10-18 00:00:00,291,7.86,7.72,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K5",2011,2011-11-07 00:00:00,311,7.92,7.89,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K5",2012,2012-11-12 00:00:00,317,7.67,7.68,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K5",2013,2013-10-23 00:00:00,296,7.99,7.79,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K6",1984,1984-11-07 00:00:00,312,5.43,,,122,,,3.3,68,,,5540,,0.47,5.61,1.85,0.84,1.93,0.78,,,,,,,,,,,,,,,,,,,,,
"K6",1985,1985-03-16 00:00:00,75,,,,,,,7.9,74,,,,,0.94,2.69,,,,,,,,,,,,,,,,,,"A",,,,,,,
"K6",1985,1985-06-01 00:00:00,152,5.89,,,217,,,0.0,57,,,4802,,0.63,7.84,2.14,0.91,1.66,1.27,,,,,,,,,,,,,,,,,,,,,
"K6",1985,1985-08-22 00:00:00,234,,,,,,,7.4,59,,,5615,,1.01,7.39,2.16,0.96,1.64,0.98,,,,,,,,,,,,,,,,,,,,,
"K6",1985,1985-11-16 00:00:00,320,5.64,,,156,,,0.0,50,,,5360,,0.61,7.21,2.06,0.84,1.73,0.81,,,,,,,,,,"E","E",,,,,,,,,"E",
"K6",1986,1986-03-01 00:00:00,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K6",1986,1986-05-13 00:00:00,133,5.76,,,138,,,0.0,49,,,4799,,0.74,6.72,1.94,0.86,1.69,0.66,,,,,,,,,,,,,,,,,,,,,
