"Permanent_"	"cutoff"	"intercept"	"slope"
"123148113"	"-2.21493342296209"	"2060.44795573018"	"930.252771649765"
"123148151"	"-0.383741243760844"	"131.4648386799"	"342.587201186619"
"123397162"	"-0.985152129562937"	"679.19461716924"	"689.431202336806"
"123397262"	"-0.399638742161704"	"736.632841392395"	"1843.24682188679"
"123397285"	"-0.464356549097247"	"91.1883020888422"	"196.375613235392"
"123397307"	"2.185255"	"-277.014115755356"	"126.765121578653"
"123397332"	"0.0608700981284568"	"-6.85651608036392"	"112.641778002301"
"123397340"	"-1.16483116367477"	"397.816222827315"	"341.52264743012"
"123397370"	"-0.8184421542469"	"109.872389260051"	"134.245760301963"
"123397403"	"2.185255"	"-37.4543506790557"	"17.1395789869174"
"123397415"	"0.61522698774556"	"-23.3995672580753"	"38.0340390200059"
"123397434"	"1.07497114969048"	"-110.902352351343"	"103.167747695624"
"123397504"	"0.121015308785763"	"-78.2310446536294"	"646.455770254027"
"123397532"	"-3.32443302281576"	"1900.02903794226"	"571.534762439871"
"123397563"	"-4.34647703526607"	"1992.50249144124"	"458.417811775984"
"123397594"	"2.185255"	"-9.94302208619962"	"4.55005117764269"
"123397672"	"2.185255"	"-317.024317443186"	"145.074289931009"
"123397683"	"-3.75686949697506"	"1376.90795826"	"366.504069243996"
"123397745"	"-2.28006531223745"	"214.75161944897"	"94.1866087328141"
"123397767"	"-3.54694935710559"	"467.841825465111"	"131.899775937845"
"123397776"	"-2.47646579526706"	"4107.27722546801"	"1658.52370475606"
"123397798"	"0.0286662798617739"	"-24.3729511248775"	"850.230697614117"
"123397806"	"-3.71309611138786"	"627.256323825971"	"168.930807339517"
"123397860"	"-7.39300280689264"	"3675.72701629247"	"497.189993336066"
"123397928"	"-4.50514300552817"	"1013.6402395778"	"224.996240593025"
"JAZ_19"	"-3.72875218818801"	"179.11769455662"	"48.0368996159173"
