"Permanent_"	"cutoff"	"intercept"	"slope"
"123148113"	"1.58635795185969"	"1234.97642293259"	"-778.497955953026"
"123148151"	"2.17749726884177"	"559.238080098005"	"-256.826076477914"
"123397162"	"0.533265"	"2700.65663625961"	"287.487247053797"
"123397262"	"0.533265"	"11217.257774554"	"1194.08684310409"
"123397285"	"0.533265"	"2334.82451830425"	"248.544100019561"
"123397307"	"5.5968035152403"	"953.275782205391"	"-170.325039928521"
"123397332"	"3.69223698824683"	"391.637308587584"	"-106.070468887628"
"123397340"	"0.533265"	"3006.21733382887"	"320.014448984099"
"123397370"	"0.891448206920287"	"89.6166056102643"	"-100.529234244427"
"123397403"	"17.1336845300995"	"1389.61006995668"	"-81.1039836478545"
"123397415"	"3.72031526065203"	"153.435746760228"	"-41.2426732710109"
"123397434"	"4.07414359928235"	"528.965489571106"	"-129.834768137353"
"123397504"	"0.950874986861274"	"596.763922015996"	"-627.594510594756"
"123397532"	"1.68444140086788"	"502.444503185183"	"-298.285534258602"
"123397563"	"1.90014913384536"	"452.890510455358"	"-238.34471852156"
"123397594"	"14.5165835616194"	"455.555017871834"	"-31.38169638456"
"123397672"	"6.45573615147939"	"1354.41709937772"	"-209.800566131771"
"123397683"	"0.533265"	"1291.20091464444"	"137.449460016728"
"123397745"	"0.533265"	"415.042963330283"	"44.1816843114607"
"123397767"	"0.533265"	"499.824670150829"	"53.2067707171573"
"123397776"	"0.533265"	"11327.2323636049"	"1205.79373372751"
"123397798"	"0.864071357132349"	"634.669210469575"	"-734.510182788483"
"123397806"	"0.533265"	"440.585785210458"	"46.9007399091716"
"123397860"	"0.533265"	"187.609108003093"	"19.9711526663114"
"123397928"	"4.58622013356524"	"787.236679444145"	"-171.652615120365"
"JAZ_19"	"0.533265"	"103.983665212036"	"11.069151571884"
